module,type,chinese,english,status
am1,words,你好,hello,0
am1,words,早上,morning,0
am1,words,下午,afternoon,0
am1,words,傍晚,evening,0
am1,words,夜晚,night,0
am1,words,好的（身体、天气）,fine,0
am1,words,太太、夫人,Mrs,0
am1,words,山姆（小狗名）,Sam,0
am1,words,妈妈（口语称呼）,Mum,0
am1,words,艾迪（男名）,Eddie,0
am1,words,爱丽丝（女名）,Alice,0
am1,words,今天,today,0
am1,words,天,day,0
am1,words,好的,well,0
am1,words,苹果,apple,0
am1,words,包,bag,0
am1,words,男孩,boy,0
am1,words,女孩,girl,0
am1,words,大的,big,0
am1,words,小的,small,0
am1,words,高的,tall,0
am1,words,矮的、短的,short,0
am1,words,胖的,fat,0
am1,words,瘦的,thin,0
am1,words,我（第一人称）,I,0
am1,words,是,am,0
am1,words,你、你们,you,0
am1,words,是,are,0
am1,words,谁,who,0
am1,words,丹尼（男孩名）,Danny,0
am1,words,玛丽（女孩名）,Mary,0
am1,words,凯蒂（女孩名）,Kitty,0
am1,words,小姐,Miss,0
am1,words,猫,cat,0
am1,words,狗,dog,0
am1,words,一,one,0
am1,words,二,two,0
am1,words,三,three,0
am1,words,四,four,0
am1,words,五,five,0
am1,words,六,six,0
am1,words,七,seven,0
am1,words,八,eight,0
am1,words,九,nine,0
am1,words,十,ten,0
am1,words,同班同学,classmate,0
am1,words,新的、新来的,new,0
am1,words,旧的,old,0
am1,words,年轻的,young,0
am1,words,膝盖,knee,0
am1,words,树枝,stick,0
am1,words,蛇,snake,0
am1,words,你的（所有格）,your,0
am1,words,对不起,sorry,0
am1,words,彼德（男名）,Peter,0
am1,words,汤姆（男名）,Tom,0
am1,words,大象,elephant,0
am1,phrases,一头大象,an elephant,0
am1,phrases,五头大象,five elephants,0
am1,phrases,碰下你的膝盖,touch your knees,0
am1,phrases,捡树枝,pick up sticks,0
am1,phrases,画一条蛇,draw a snake,0
am1,phrases,再做一次,do it again,0
am1,phrases,一位新同学,a new classmate,0
am1,sentences,我是am，你是are，is用于他、她、它。,I am/you are/is for he she it.,0
am1,sentences,多少个碗？有四个碗。,How many bowls? --There are four bowls.,0
am1,sentences,多少个勺子？有一个。,How many spoons? --There is one.,0
am1,sentences,在厨房里有一只猫。,There is a cat in the kitchen.,0
am1,sentences,在桌上有两只碗。,There are two bowls on the table.,0
am1,sentences,在房间里有一张桌子和一把椅子。,There is a table and a chair in the room.,0
am1,sentences,碗在地上。,The bowls are on the floor.,0
am1,sentences,温迪用手关上了窗。,Wendy closes the window with her hand.,0
am1,sentences,不要摘花。对不起。,Don't pick the flowers. --I'm sorry.,0
am1,sentences,不要爬树，丹尼。对不起。,Don't climb the tree，Danny. --I'm sorry.,0
am1,sentences,我喜欢这个公园。它又大又美丽。,I like this park. It's big and nice.,0
am1,sentences,看看这朵花。它真漂亮。,Look at this flower. It's beautiful.,0
am1,sentences,这是什么？它是个蜜蜂。,What's this? --It's a bee.,0
am1,sentences,一只斑马在一个黄色的盒子里。,A zebra is in a yellow box.,0
am2,words,跑步,run,0
am2,words,写字,write,0
am2,words,游泳,swim,0
am2,words,飞,fly,0
am2,words,唱,sing,0
am2,words,画,draw,0
am2,words,读,read,0
am2,words,跳舞,dance,0
am2,words,跳绳,skip,0
am2,words,骑（车）,ride,0
am2,words,会,can,0
am2,words,不会,can't,0
am2,words,超级女孩（名字）,Supergirl,0
am2,words,但是（转折）,but,0
am2,words,她（第三人称单数）,she,0
am2,words,他（第三人称单数）,he,0
am2,words,它（第三人称单数）,it,0
am2,words,什么,what,0
am2,words,女孩,girl,0
am2,words,手,hand,0
am2,words,大门,gate,0
am2,words,有（第三人称单数）,has,0
am2,words,盘子,plate,0
am2,words,她的（所有格）,her,0
am2,words,家庭,family,0
am2,words,年轻的,young,0
am2,words,年老的,old,0
am2,words,兄弟,brother,0
am2,words,姐妹,sister,0
am2,words,妈妈,mother,0
am2,words,爸爸,father,0
am2,words,妈妈（爱称）,mummy,0
am2,words,爸爸（爱称）,daddy,0
am2,words,(外)祖父,grandfather,0
am2,words,(外)祖母,grandmother,0
am2,words,是（第三人称单数）,is,0
am2,words,不是,isn't,0
am2,words,朋友,friend,0
am2,words,同班同学,classmate,0
am2,words,萨莉（女孩名）,Sally,0
am2,words,吉姆（男孩名）,Jim,0
